case,category,mode,embedding_model,top_k,has_relevant,recall_at_k,precision_at_k,mrr,distractor_hit_rate,stale_evidence_rate,top_hit_is_relevant,retrieved_message_ids,relevant_message_ids,distractor_message_ids,stale_message_ids
temporal_update,temporal_update,embedding,local/bge-small-en-v1.5,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[1003, 951, 1005, 1021, 1010, 1015]",[1003],[],[951]
temporal_update,temporal_update,hybrid,local/bge-small-en-v1.5,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[1003, 951, 1005, 1021, 1010, 1015]",[1003],[],[951]
multi_hop_project_state,multi_hop,bm25,local/bge-small-en-v1.5,6,True,1.0,0.3333,1.0,0.0,0.0,True,"[1075, 1033, 1025, 1026, 1027, 1028]","[1033, 1075]",[],[]
multi_hop_project_state,multi_hop,embedding,local/bge-small-en-v1.5,6,True,1.0,0.3333,1.0,0.0,0.0,True,"[1075, 1033, 1030, 1048, 1086, 1042]","[1033, 1075]",[],[]
multi_hop_project_state,multi_hop,hybrid,local/bge-small-en-v1.5,6,True,1.0,0.3333,1.0,0.0,0.0,True,"[1075, 1033, 1030, 1048, 1086, 1042]","[1033, 1075]",[],[]
abstention_no_evidence,abstention,bm25,local/bge-small-en-v1.5,6,False,,,,0.0,0.0,False,"[1105, 1106, 1107, 1108, 1109, 1110]",[],[],[]
abstention_no_evidence,abstention,embedding,local/bge-small-en-v1.5,6,False,,,,0.0,0.0,False,"[1123, 1126, 1128, 1169, 1130, 1171]",[],[],[]
abstention_no_evidence,abstention,hybrid,local/bge-small-en-v1.5,6,False,,,,0.0,0.0,False,"[1123, 1126, 1128, 1169, 1130, 1171]",[],[],[]
distractor_retrieval_noise,retrieval_noise,bm25,local/bge-small-en-v1.5,6,True,1.0,0.1667,1.0,0.5,0.0,True,"[1191, 1203, 1245, 1223, 1185, 1186]",[1191],"[1203, 1223, 1245]",[]
distractor_retrieval_noise,retrieval_noise,embedding,local/bge-small-en-v1.5,6,True,1.0,0.1667,1.0,0.5,0.0,True,"[1191, 1223, 1203, 1245, 1190, 1276]",[1191],"[1203, 1223, 1245]",[]
distractor_retrieval_noise,retrieval_noise,hybrid,local/bge-small-en-v1.5,6,True,1.0,0.1667,1.0,0.5,0.0,True,"[1191, 1203, 1223, 1245, 1190, 1276]",[1191],"[1203, 1223, 1245]",[]
similar_entity_confusion,entity_disambiguation,bm25,local/bge-small-en-v1.5,6,True,1.0,0.1667,1.0,0.3333,0.0,True,"[1291, 1309, 1333, 1281, 1282, 1283]",[1291],"[1309, 1333]",[]
similar_entity_confusion,entity_disambiguation,embedding,local/bge-small-en-v1.5,6,True,1.0,0.1667,1.0,0.3333,0.0,True,"[1291, 1309, 1333, 1298, 1288, 1302]",[1291],"[1309, 1333]",[]
similar_entity_confusion,entity_disambiguation,hybrid,local/bge-small-en-v1.5,6,True,1.0,0.1667,1.0,0.3333,0.0,True,"[1291, 1309, 1333, 1298, 1288, 1302]",[1291],"[1309, 1333]",[]
recent_override,recent_update,bm25,local/bge-small-en-v1.5,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[1465, 1385, 1377, 1378, 1379, 1380]",[1465],[],[1385]
recent_override,recent_update,embedding,local/bge-small-en-v1.5,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[1465, 1385, 1462, 1394, 1432, 1437]",[1465],[],[1385]
recent_override,recent_update,hybrid,local/bge-small-en-v1.5,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[1465, 1385, 1462, 1394, 1432, 1437]",[1465],[],[1385]
summary_drift_missing_constraint,summary_drift,bm25,local/bge-small-en-v1.5,6,True,1.0,0.1667,1.0,0.1667,0.0,True,"[1485, 1507, 1473, 1474, 1475, 1476]",[1485],[1507],[]
summary_drift_missing_constraint,summary_drift,embedding,local/bge-small-en-v1.5,6,True,1.0,0.1667,1.0,0.1667,0.0,True,"[1485, 1507, 1480, 1481, 1476, 1537]",[1485],[1507],[]
summary_drift_missing_constraint,summary_drift,hybrid,local/bge-small-en-v1.5,6,True,1.0,0.1667,1.0,0.1667,0.0,True,"[1485, 1507, 1480, 1481, 1476, 1537]",[1485],[1507],[]
semantic_paraphrase_retrieval,semantic_gap,bm25,local/bge-small-en-v1.5,6,True,0.0,0.0,0.0,0.1667,0.0,False,"[1597, 1569, 1570, 1571, 1572, 1573]",[1579],[1597],[]
semantic_paraphrase_retrieval,semantic_gap,embedding,local/bge-small-en-v1.5,6,True,1.0,0.1667,1.0,0.1667,0.0,True,"[1579, 1597, 1584, 1586, 1599, 1585]",[1579],[1597],[]
semantic_paraphrase_retrieval,semantic_gap,hybrid,local/bge-small-en-v1.5,6,True,1.0,0.1667,0.5,0.1667,0.0,False,"[1597, 1579, 1584, 1586, 1599, 1585]",[1579],[1597],[]
abbreviation_entity_retrieval,entity_abbreviation,bm25,local/bge-small-en-v1.5,6,True,1.0,0.1667,0.5,0.1667,0.1667,False,"[1697, 1661, 1679, 1649, 1650, 1651]",[1661],[1697],[1679]
abbreviation_entity_retrieval,entity_abbreviation,embedding,local/bge-small-en-v1.5,6,True,1.0,0.1667,1.0,0.1667,0.1667,True,"[1661, 1679, 1697, 1656, 1652, 1657]",[1661],[1697],[1679]
abbreviation_entity_retrieval,entity_abbreviation,hybrid,local/bge-small-en-v1.5,6,True,1.0,0.1667,0.5,0.1667,0.1667,False,"[1697, 1661, 1679, 1656, 1652, 1657]",[1661],[1697],[1679]
long_range_preference,long_range_recall,bm25,local/e5-base-v2,6,True,1.0,0.1667,1.0,0.0,0.0,True,"[1733, 1729, 1730, 1731, 1732, 1734]",[1733],[],[]
long_range_preference,long_range_recall,embedding,local/e5-base-v2,6,True,1.0,0.1667,1.0,0.0,0.0,True,"[1733, 1732, 1729, 1737, 1806, 1734]",[1733],[],[]
long_range_preference,long_range_recall,hybrid,local/e5-base-v2,6,True,1.0,0.1667,1.0,0.0,0.0,True,"[1733, 1732, 1729, 1737, 1806, 1734]",[1733],[],[]
temporal_update,temporal_update,bm25,local/e5-base-v2,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[1867, 1815, 1809, 1810, 1811, 1812]",[1867],[],[1815]
temporal_update,temporal_update,embedding,local/e5-base-v2,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[1867, 1815, 1828, 1873, 1841, 1843]",[1867],[],[1815]
temporal_update,temporal_update,hybrid,local/e5-base-v2,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[1867, 1815, 1828, 1873, 1841, 1843]",[1867],[],[1815]
multi_hop_project_state,multi_hop,bm25,local/e5-base-v2,6,True,1.0,0.3333,1.0,0.0,0.0,True,"[1939, 1897, 1889, 1890, 1891, 1892]","[1897, 1939]",[],[]
multi_hop_project_state,multi_hop,embedding,local/e5-base-v2,6,True,1.0,0.3333,1.0,0.0,0.0,True,"[1939, 1897, 1889, 1892, 1955, 1894]","[1897, 1939]",[],[]
multi_hop_project_state,multi_hop,hybrid,local/e5-base-v2,6,True,1.0,0.3333,1.0,0.0,0.0,True,"[1939, 1897, 1889, 1892, 1955, 1894]","[1897, 1939]",[],[]
abstention_no_evidence,abstention,bm25,local/e5-base-v2,6,False,,,,0.0,0.0,False,"[1969, 1970, 1971, 1972, 1973, 1974]",[],[],[]
abstention_no_evidence,abstention,embedding,local/e5-base-v2,6,False,,,,0.0,0.0,False,"[2016, 2014, 1987, 2017, 2012, 1969]",[],[],[]
abstention_no_evidence,abstention,hybrid,local/e5-base-v2,6,False,,,,0.0,0.0,False,"[2016, 2014, 1987, 2017, 2012, 1969]",[],[],[]
distractor_retrieval_noise,retrieval_noise,bm25,local/e5-base-v2,6,True,1.0,0.1667,1.0,0.5,0.0,True,"[2055, 2067, 2109, 2087, 2049, 2050]",[2055],"[2067, 2087, 2109]",[]
distractor_retrieval_noise,retrieval_noise,embedding,local/e5-base-v2,6,True,1.0,0.1667,0.5,0.5,0.0,False,"[2087, 2055, 2067, 2109, 2115, 2049]",[2055],"[2067, 2087, 2109]",[]
distractor_retrieval_noise,retrieval_noise,hybrid,local/e5-base-v2,6,True,1.0,0.1667,1.0,0.5,0.0,True,"[2055, 2067, 2087, 2109, 2115, 2049]",[2055],"[2067, 2087, 2109]",[]
similar_entity_confusion,entity_disambiguation,bm25,local/e5-base-v2,6,True,1.0,0.1667,1.0,0.3333,0.0,True,"[2155, 2173, 2197, 2145, 2146, 2147]",[2155],"[2173, 2197]",[]
similar_entity_confusion,entity_disambiguation,embedding,local/e5-base-v2,6,True,1.0,0.1667,1.0,0.3333,0.0,True,"[2155, 2173, 2197, 2186, 2196, 2206]",[2155],"[2173, 2197]",[]
similar_entity_confusion,entity_disambiguation,hybrid,local/e5-base-v2,6,True,1.0,0.1667,1.0,0.3333,0.0,True,"[2155, 2173, 2197, 2186, 2196, 2206]",[2155],"[2173, 2197]",[]
recent_override,recent_update,bm25,local/e5-base-v2,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[2329, 2249, 2241, 2242, 2243, 2244]",[2329],[],[2249]
recent_override,recent_update,embedding,local/e5-base-v2,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[2329, 2249, 2243, 2246, 2241, 2256]",[2329],[],[2249]
recent_override,recent_update,hybrid,local/e5-base-v2,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[2329, 2249, 2243, 2246, 2241, 2256]",[2329],[],[2249]
summary_drift_missing_constraint,summary_drift,bm25,local/e5-base-v2,6,True,1.0,0.1667,1.0,0.1667,0.0,True,"[2349, 2371, 2337, 2338, 2339, 2340]",[2349],[2371],[]
summary_drift_missing_constraint,summary_drift,embedding,local/e5-base-v2,6,True,1.0,0.1667,1.0,0.1667,0.0,True,"[2349, 2371, 2411, 2369, 2380, 2401]",[2349],[2371],[]
summary_drift_missing_constraint,summary_drift,hybrid,local/e5-base-v2,6,True,1.0,0.1667,1.0,0.1667,0.0,True,"[2349, 2371, 2411, 2369, 2380, 2401]",[2349],[2371],[]
semantic_paraphrase_retrieval,semantic_gap,bm25,local/e5-base-v2,6,True,0.0,0.0,0.0,0.1667,0.0,False,"[2461, 2433, 2434, 2435, 2436, 2437]",[2443],[2461],[]
semantic_paraphrase_retrieval,semantic_gap,embedding,local/e5-base-v2,6,True,1.0,0.1667,0.5,0.1667,0.0,False,"[2461, 2443, 2451, 2433, 2441, 2499]",[2443],[2461],[]
semantic_paraphrase_retrieval,semantic_gap,hybrid,local/e5-base-v2,6,True,1.0,0.1667,0.5,0.1667,0.0,False,"[2461, 2443, 2451, 2433, 2441, 2499]",[2443],[2461],[]
abbreviation_entity_retrieval,entity_abbreviation,bm25,local/e5-base-v2,6,True,1.0,0.1667,0.5,0.1667,0.1667,False,"[2561, 2525, 2543, 2513, 2514, 2515]",[2525],[2561],[2543]
abbreviation_entity_retrieval,entity_abbreviation,embedding,local/e5-base-v2,6,True,1.0,0.1667,1.0,0.1667,0.1667,True,"[2525, 2561, 2543, 2579, 2518, 2516]",[2525],[2561],[2543]
abbreviation_entity_retrieval,entity_abbreviation,hybrid,local/e5-base-v2,6,True,1.0,0.1667,0.5,0.1667,0.1667,False,"[2561, 2525, 2543, 2579, 2518, 2516]",[2525],[2561],[2543]
long_range_preference,long_range_recall,bm25,openai/text-embedding-3-small,6,True,1.0,0.1667,1.0,0.0,0.0,True,"[5, 1, 2, 3, 4, 6]",[5],[],[]
long_range_preference,long_range_recall,embedding,openai/text-embedding-3-small,6,True,1.0,0.1667,1.0,0.0,0.0,True,"[5, 15, 16, 12, 6, 17]",[5],[],[]
long_range_preference,long_range_recall,hybrid,openai/text-embedding-3-small,6,True,1.0,0.1667,1.0,0.0,0.0,True,"[5, 15, 16, 12, 6, 17]",[5],[],[]
temporal_update,temporal_update,bm25,openai/text-embedding-3-small,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[139, 87, 81, 82, 83, 84]",[139],[],[87]
temporal_update,temporal_update,embedding,openai/text-embedding-3-small,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[139, 87, 92, 134, 113, 94]",[139],[],[87]
temporal_update,temporal_update,hybrid,openai/text-embedding-3-small,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[139, 87, 92, 134, 113, 94]",[139],[],[87]
multi_hop_project_state,multi_hop,bm25,openai/text-embedding-3-small,6,True,1.0,0.3333,1.0,0.0,0.0,True,"[211, 169, 161, 162, 163, 164]","[169, 211]",[],[]
multi_hop_project_state,multi_hop,embedding,openai/text-embedding-3-small,6,True,1.0,0.3333,1.0,0.0,0.0,True,"[211, 169, 165, 170, 217, 215]","[169, 211]",[],[]
multi_hop_project_state,multi_hop,hybrid,openai/text-embedding-3-small,6,True,1.0,0.3333,1.0,0.0,0.0,True,"[211, 169, 165, 170, 217, 215]","[169, 211]",[],[]
abstention_no_evidence,abstention,bm25,openai/text-embedding-3-small,6,False,,,,0.0,0.0,False,"[241, 242, 243, 244, 245, 246]",[],[],[]
abstention_no_evidence,abstention,embedding,openai/text-embedding-3-small,6,False,,,,0.0,0.0,False,"[310, 300, 308, 315, 270, 307]",[],[],[]
abstention_no_evidence,abstention,hybrid,openai/text-embedding-3-small,6,False,,,,0.0,0.0,False,"[310, 300, 308, 315, 270, 307]",[],[],[]
distractor_retrieval_noise,retrieval_noise,bm25,openai/text-embedding-3-small,6,True,1.0,0.1667,1.0,0.5,0.0,True,"[327, 339, 381, 359, 321, 322]",[327],"[339, 359, 381]",[]
distractor_retrieval_noise,retrieval_noise,embedding,openai/text-embedding-3-small,6,True,1.0,0.1667,1.0,0.5,0.0,True,"[327, 359, 339, 381, 409, 406]",[327],"[339, 359, 381]",[]
distractor_retrieval_noise,retrieval_noise,hybrid,openai/text-embedding-3-small,6,True,1.0,0.1667,1.0,0.5,0.0,True,"[327, 339, 359, 381, 409, 406]",[327],"[339, 359, 381]",[]
similar_entity_confusion,entity_disambiguation,bm25,openai/text-embedding-3-small,6,True,1.0,0.1667,1.0,0.3333,0.0,True,"[427, 445, 469, 417, 418, 419]",[427],"[445, 469]",[]
similar_entity_confusion,entity_disambiguation,embedding,openai/text-embedding-3-small,6,True,1.0,0.1667,1.0,0.3333,0.0,True,"[427, 445, 469, 418, 417, 421]",[427],"[445, 469]",[]
similar_entity_confusion,entity_disambiguation,hybrid,openai/text-embedding-3-small,6,True,1.0,0.1667,1.0,0.3333,0.0,True,"[427, 445, 469, 418, 417, 421]",[427],"[445, 469]",[]
recent_override,recent_update,bm25,openai/text-embedding-3-small,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[601, 521, 513, 514, 515, 516]",[601],[],[521]
recent_override,recent_update,embedding,openai/text-embedding-3-small,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[601, 521, 518, 516, 528, 529]",[601],[],[521]
recent_override,recent_update,hybrid,openai/text-embedding-3-small,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[601, 521, 518, 516, 528, 529]",[601],[],[521]
summary_drift_missing_constraint,summary_drift,bm25,openai/text-embedding-3-small,6,True,1.0,0.1667,1.0,0.1667,0.0,True,"[621, 643, 609, 610, 611, 612]",[621],[643],[]
summary_drift_missing_constraint,summary_drift,embedding,openai/text-embedding-3-small,6,True,1.0,0.1667,1.0,0.1667,0.0,True,"[621, 643, 627, 664, 631, 667]",[621],[643],[]
summary_drift_missing_constraint,summary_drift,hybrid,openai/text-embedding-3-small,6,True,1.0,0.1667,1.0,0.1667,0.0,True,"[621, 643, 627, 664, 631, 667]",[621],[643],[]
semantic_paraphrase_retrieval,semantic_gap,bm25,openai/text-embedding-3-small,6,True,0.0,0.0,0.0,0.1667,0.0,False,"[733, 705, 706, 707, 708, 709]",[715],[733],[]
semantic_paraphrase_retrieval,semantic_gap,embedding,openai/text-embedding-3-small,6,True,1.0,0.1667,1.0,0.1667,0.0,True,"[715, 733, 714, 711, 716, 712]",[715],[733],[]
semantic_paraphrase_retrieval,semantic_gap,hybrid,openai/text-embedding-3-small,6,True,1.0,0.1667,0.5,0.1667,0.0,False,"[733, 715, 714, 711, 716, 712]",[715],[733],[]
abbreviation_entity_retrieval,entity_abbreviation,bm25,openai/text-embedding-3-small,6,True,1.0,0.1667,0.5,0.1667,0.1667,False,"[833, 797, 815, 785, 786, 787]",[797],[833],[815]
abbreviation_entity_retrieval,entity_abbreviation,embedding,openai/text-embedding-3-small,6,True,1.0,0.1667,1.0,0.1667,0.1667,True,"[797, 815, 833, 786, 794, 787]",[797],[833],[815]
abbreviation_entity_retrieval,entity_abbreviation,hybrid,openai/text-embedding-3-small,6,True,1.0,0.1667,0.5,0.1667,0.1667,False,"[833, 797, 815, 786, 794, 787]",[797],[833],[815]
